city,country,population,student_rating,summary,recommended_budget,city_size,job_market,employment,student_environment,living_cost,international_community,public_transport,safety,wikipedia,study_portal,scholarship,visa,latitude,longitude

Berlin,Germany,"3.9 Million","⭐⭐⭐⭐⭐","Berlin is Germany's capital and largest student destination, offering outstanding universities, a vibrant international community, and excellent career opportunities.",1400,Large,Excellent,"⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐⭐🌑🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑",https://en.wikipedia.org/wiki/Berlin,https://www.study-in-germany.de/en/,https://www.daad.de/en/studying-in-germany/scholarships/,https://www.make-it-in-germany.com/en/visa-residence,52.5200,13.4050

Leipzig,Germany,"620 Thousand","⭐⭐⭐⭐🌑","A fast-growing German student city known for affordable living, creative culture, and excellent university opportunities.",950,Medium,Good,"⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑",https://en.wikipedia.org/wiki/Leipzig,https://www.study-in-germany.de/en/,https://www.daad.de/en/studying-in-germany/scholarships/,https://www.make-it-in-germany.com/en/visa-residence,51.3397,12.3731

Dresden,Germany,"570 Thousand","⭐⭐⭐⭐🌑","A historic university city offering strong engineering education, affordable living, and an excellent quality of life.",900,Medium,Good,"⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐","⭐⭐⭐🌑🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Dresden,https://www.study-in-germany.de/en/,https://www.daad.de/en/studying-in-germany/scholarships/,https://www.make-it-in-germany.com/en/visa-residence,51.0504,13.7373

Hamburg,Germany,"1.9 Million","⭐⭐⭐⭐⭐","Germany's major port city offering outstanding career opportunities, international exposure, and a vibrant student experience.",1200,Large,Excellent,"⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑",https://en.wikipedia.org/wiki/Hamburg,https://www.study-in-germany.de/en/,https://www.daad.de/en/studying-in-germany/scholarships/,https://www.make-it-in-germany.com/en/visa-residence,53.5511,9.9937

Frankfurt,Germany,"780 Thousand","⭐⭐⭐⭐🌑","Germany's financial capital providing exceptional career prospects and a higly international environment for students.",1200,Medium,Excellent,"⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑","⭐⭐⭐🌑🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑",https://en.wikipedia.org/wiki/Frankfurt,https://www.study-in-germany.de/en/,https://www.daad.de/en/studying-in-germany/scholarships/,https://www.make-it-in-germany.com/en/visa-residence,50.1109,8.6821

Stuttgart,Germany,"640 Thousand","⭐⭐⭐⭐🌑","A leading engineering and automative hub with excellent universities and strong career opportunities.",1150,Medium,Excellent,"⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑","⭐⭐⭐🌑🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Stuttgart,https://www.study-in-germany.de/en/,https://www.daad.de/en/studying-in-germany/scholarships/,https://www.make-it-in-germany.com/en/visa-residence,48.7758,9.1829

Nuremberg,Germany,"530 Thousand","⭐⭐⭐⭐🌑","A well-balanced Bavarian city offering affordable education, growing industries, and a welcoming student atmosphere.",950,Medium,Good"⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐🌑🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Nuremberg,https://www.study-in-germany.de/en/,https://www.daad.de/en/studying-in-germany/scholarships/,https://www.make-it-in-germany.com/en/visa-residence,49.4521,11.0767

Munich,Germany,"1.6 Million","⭐⭐⭐⭐⭐","Munich combines world-class universities with one of Germany's strongest economies, making it ideal for students seeking academic excellence and career growth.",1300,Large,Excellent,"⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐🌑🌑🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Munich,https://www.study-in-germany.de/en/,https://www.daad.de/en/studying-in-germany/scholarships/,https://www.make-it-in-germany.com/en/visa-residence,48.1351,11.5820

Cologne,Germany,"1.1 Million","⭐⭐⭐⭐","Cologne is known for its welcoming atmosphere, strong student community, and balanced cost of living with good employment opportunities.",1100,Large,Good,"⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐","⭐⭐⭐🌑🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑",https://en.wikipedia.org/wiki/Cologne,https://www.study-in-germany.de/en/,https://www.daad.de/en/studying-in-germany/scholarships/,https://www.make-it-in-germany.com/en/visa-residence,50.9375,6.9603

Aachen,Germany,"260 Thousand","⭐⭐⭐⭐⭐","Aachen is a renowned university city, home to RWTH Aachen University, offering outstanding engineering education, research opportunities, and a highly student-focused environment.",900,Small,Excellent,"⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Aachen,https://www.study-in-germany.de/en/,https://www.daad.de/en/studying-in-germany/scholarships/,https://www.make-it-in-germany.com/en/visa-residence,50.7753,6.0839

Freiburg,Germany,"236 Thousand","⭐⭐⭐⭐","Freiburg is a picturesque student city known for sustainability, quality of life, and a welcoming academic atmosphere.",1000,Small,Good,"⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐","⭐⭐⭐🌑🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Freiburg,https://www.study-in-germany.de/en/,https://www.daad.de/en/studying-in-germany/scholarships/,https://www.make-it-in-germany.com/en/visa-residence,47.9990,7.8421

Münster,Germany,"320 Thousand","⭐⭐⭐⭐⭐","Münster is consistently ranked among Germany's best student cities thanks to its vibrant campus culture, cycling-friendly environment, and excellent quality of life.",950,Medium,Moderate,"⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑","⭐⭐⭐🌑🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Münster,https://www.study-in-germany.de/en/,https://www.daad.de/en/studying-in-germany/scholarships/,https://www.make-it-in-germany.com/en/visa-residence,51.9607,7.6261


