city,university,rank_in_country,website,annual_fee,description,acceptance_rate,core_departments,languages_of_instruction

Aachen,RWTH Aachen University,5,https://www.rwth-aachen.de,€650,"Germany's leading engineering and technology university, internationally renowned for research and innovation.",Highly Competitive (~10-20%),Mechanical Engineering|Computer Science|Electrical Engineering|Civil Engineering|Aerospace Engineering,German|English
Aachen,FH Aachen University of Applied Sciences,15,https://www.fh-aachen.de,€650,"A leading university of applied sciences with strong industry connections and practical learning.",Moderately Competitive (~40-50%),Mechanical Engineering|Computer Science|Electrical Engineering|Business Administration|Aerospace Engineering,German|English

Berlin,Humboldt University of Berlin,2,https://www.hu-berlin.de,€700,"One of Germany's oldest and most prestigious universities with strengths across many disciplines.",Highly Competitive (~15-25%),Computer Science|Mathematics|Physics|Economics|Humanities,German|English
Berlin,Technical University of Berlin,9,https://www.tu.berlin,€700,"Globally respected for engineering, computer science, and technology.",Moderately Competitive (~20-30%),Mechanical Engineering|Computer Science|Electrical Engineering|Architecture|Industrial Engineering,German|English

Munich,Technical University of Munich,1,https://www.tum.de,€5000,"Germany's top-ranked university, internationally recognized for STEM, entrepreneurship, and research.",Highly Competitive (~8-15%),Mechanical Engineering|Computer Science|Electrical Engineering|Artificial Intelligence|Management,German|English
Munich,Ludwig Maximilian University of Munich,3,https://www.en.uni-muenchen.de,€170,"One of Europe's leading research universities with outstanding academic reputation.",Highly Competitive (~10-20%),Medicine|Law|Business Administration|Biology|Psychology,German|English

Freiburg,University of Freiburg,6,https://www.uni-freiburg.de,€3000,"A historic research university known for sustainability, medicine, and environmental sciences.",Moderately Competitive (~20-30%),Medicine|Computer Science|Environmental Sciences|Biology|Economics,German|English
Freiburg,Freiburg University of Education (Pädagogische Hochschule Freiburg),55,https://www.ph-freiburg.de/,€380,"Specializes in teacher education, educational sciences, psychology, and social sciences. ",Moderately Competitive (~40-50%),Teacher Education|Educational Sciences|Psychology|Special Education|Social Work,German

Münster,University of Münster,10,https://www.uni-muenster.de,€700,"One of Germany's largest universities with a vibrant student community.",Moderately Competitive (~20-30%),Business Administration|Law|Medicine|Computer Science|Mathematics,German|English
Münster,Münster University of Applied Sciences,32, https://www.fh-muenster.de/,€700,"One of Germany's leading Universities of Applied Sciences with strengths in engineering, business, design, and social sciences. ",Moderately Competitive (~40-50%),Mechanical Engineering|Computer Science|Business Administration|Design|Social Work,German|English

Cologne,University of Cologne, 10,https://www.uni-koeln.de/,€650,"One of Germany's oldest and largest universities, renowned for business, economics, law, medicine, and social sciences.",Moderately Competitive (~20-30%),Business Administration|Economics|Law|Medicine|Computer Science,German|English
Cologne,TH Köln (Cologne University of Applied Sciences),25,https://www.th-koeln.de/,€650,"Germany's largest University of Applied Sciences, known for engineering, IT, design, and applied research.",Moderately Competitive (~35-45%),Mechanical Engineering|Computer Science|Electrical Engineering|Business Administration|Media Technology,German|English

Leipzig,Leipzig University,18,https://www.uni-leipzig.de/,€600,"One of Germany's oldest universities, offering strong programs in humanities, sciences, medicine, and economics.",Moderately Competitive (~25-35%),Medicine|Computer Science|Business Administration|Law|Psychology,German|English
Leipzig,HWTK Leipzig,45,https://www.htwk-leipzig.de/,€600,"A leading University of Applied Sciences specializing in engineering, computer science, and architecture.",Moderately Competitive (~45-55%),Mechanical Engineering|Computer Science|Architecture|Civil Engineering|Business Administration,German|English

Dresden,TU Dresden,11,https://tu-dresden.de/,€600,"One of Germany's prestigious technical universities, highly regarded for engineering, natural sciences, and research.",Highly Competitive (~15-25%),Mechanical Engineering|Computer Science|Electrical Engineering|Civil Engineering|Medicine,German|English
Dresden,Dresden University of Applied Sciences (HTW Dresden),42,https://www.htw-dresden.de/,€600,"Well known for engineering, business, and applied sciences with strong industry connections.",Moderately Competitive (~45-55%),Mechanical Engineering|Computer Science|Business Administration|Civil Engineering|Design,German|English

Hamburg,University of Hamburg,8,https://www.uni-hamburg.de/,€700,"One of Germany's largest research universities, offering excellent programs across sciences, law, economics, and humanities. ",Moderately Competitive (~20-30%),Law|Computer Science|Economics|Business Administration|Psychology,German|English
Hamburg,Hamburg University of Technology (TUHH),22,https://www.tuhh.de/,€700,"Internationally respected technical university focusing on engineering and innovation.",Moderately Competitive (~25-35%),Mechanical Engineering|Computer Science|Electrical Engineering|Process Engineering|Logistics Engineering,German|English

Frankfurt,Goethe University Frankfurt,9,https://www.goethe-university-frankfurt.de/,€650,"A leading German university particularly recognized for economics, finance, law, and medicine. ",Moderately Competitive (~20-30%),Business Administration|Computer Science|Economics|Finance|Medicine,German|English
Frankfurt,Frankfurt University of Applied Sciences,35,https://www.frankfurt-university.de/,€650,"Offers practice-oriented education in engineering, business, IT, and social sciences.",Moderately Competitive (~45-55%),Mechanical Engineering|Computer Science|Business Administration|Information Technology|Architecture,German|English

Stuttgart,University of Stuttgart,12,https://www.uni-stuttgart.de/,€1500,"A globally recognized university known for engineering, automotive technology, aerospace, and architecture. ",Moderately Competitive (~20-30%),Mechanical Engineering|Computer Science|Automotive Engineering|Architecture|Aerospace Engineering,German|English
Stuttgart,Stuttgart Media University (HdM),40,https://www.hdm-stuttgart.de/⁠,€1500,"A leading institution specializing in media, communication, design, and information technology. ",Moderately Competitive (~45-55%),Media Technology|Computer Science|Information Systems|Communication Design|Printing Technology,German|English

Nuremberg,FAU Erlangen–Nuremberg,7,https://www.fau.eu/,€600,"One of Germany's top research universities, offering outstanding programs in engineering, medicine, business, and sciences. ",Moderately Competitive (~20-30%),Mechanical Engineering|Computer Science|Electrical Engineering|Medicine|Business Administration,German|English
Nuremberg,Nuremberg Institute of Technology (Technische Hochschule Nürnberg),30,https://www.th-nuernberg.de/,€600,"A respected University of Applied Sciences with strengths in engineering, IT, architecture, and business.",Moderately Competitive (~45-55%),Mechanical Engineering|Computer Science|Electrical Engineering|Business Administration|Architecture,German|English


